LahmanID,Year,Team,Lg,Playoff,G,AB,R,H,2B,3B,HR,RBI,SH,SF,SB,CS,BB,IBB,HBP,SO,,,,CS,TB
becanbu01,1884,NYP,AA,WS,1,2,0,1,0,0,0,0,,,0,,0,,,0,,,,,1
bradyst01,1884,NYP,AA,WS,3,10,1,0,0,0,0,0,,,0,,0,,,1,,,,,0
carrocl01,1884,PRO,NL,WS,3,10,2,1,0,0,0,1,,,0,,1,,,1,,,,,1
dennyje01,1884,PRO,NL,WS,3,9,3,4,0,1,1,2,,,0,,0,,,3,,,,,9
esterdu01,1884,NYP,AA,WS,3,10,0,3,1,0,0,0,,,1,,0,,,3,,,,,4
farreja02,1884,PRO,NL,WS,3,9,3,4,2,0,0,0,,,1,,0,,,0,,,,,6
forstto01,1884,NYP,AA,WS,1,3,0,0,0,0,0,0,,,0,,0,,,1,,,,,0
gilliba01,1884,PRO,NL,WS,3,9,3,4,2,0,0,2,,,0,,0,,,1,,,,,6
hinespa01,1884,PRO,NL,WS,3,8,5,2,0,0,0,1,,,2,,3,,,0,,,,,2
irwinar01,1884,PRO,NL,WS,3,9,3,2,0,1,0,2,,,0,,0,,,2,,,,,4
keefeti01,1884,NYP,AA,WS,2,5,0,1,0,0,0,0,,,0,,0,,,4,,,,,1
kenneed01,1884,NYP,AA,WS,3,7,0,0,0,0,0,0,,,0,,0,,,2,,,,,0
nelsoca01,1884,NYP,AA,WS,3,10,0,1,0,0,0,0,,,0,,0,,,1,,,,,1
orrda01,1884,NYP,AA,WS,3,9,0,1,0,0,0,0,,,0,,0,,,0,,,,,1
radboch01,1884,PRO,NL,WS,3,10,1,1,0,0,0,2,,,0,,1,,,3,,,,,1
radfopa01,1884,PRO,NL,WS,3,7,1,0,0,0,0,1,,,0,,0,,,1,,,,,0
reipsch01,1884,NYP,AA,WS,2,5,1,0,0,0,0,0,,,0,,0,,,1,,,,,0
rosemch01,1884,NYP,AA,WS,3,9,1,3,0,0,0,1,,,0,,0,,,1,,,,,3
startjo01,1884,PRO,NL,WS,3,10,0,1,0,0,0,1,,,0,,0,,,2,,,,,1
troyda01,1884,NYP,AA,WS,2,5,0,1,0,0,0,1,,,0,,0,,,1,,,,,1
ansonca01,1885,CHC,NL,WS,7,26,8,11,1,1,0,0,,,0,,2,,,0,,,,,14
barklsa01,1885,STL,AA,WS,7,23,3,2,0,0,0,0,,,0,,2,,,0,,,,,2
burnsto01,1885,CHC,NL,WS,7,25,3,2,0,1,0,0,,,0,,0,,,0,,,,,4
bushodo01,1885,STL,AA,WS,4,13,1,2,0,0,0,0,,,0,,0,,,0,,,,,2
carutbo01,1885,STL,AA,WS,5,15,1,3,0,1,0,0,,,0,,1,,,0,,,,,5
clarkjo01,1885,CHC,NL,WS,4,13,1,2,1,0,0,0,,,0,,0,,,0,,,,,3
comisch01,1885,STL,AA,WS,7,24,6,7,0,0,0,0,,,0,,0,,,0,,,,,7
dalryab01,1885,CHC,NL,WS,7,26,4,7,2,0,1,0,,,0,,2,,,0,,,,,12
flintsi01,1885,CHC,NL,WS,4,14,0,2,0,0,0,0,,,0,,0,,,0,,,,,2
foutzda01,1885,STL,AA,WS,4,12,1,2,0,0,0,0,,,0,,0,,,0,,,,,2
gleasbi01,1885,STL,AA,WS,7,26,5,6,2,0,0,0,,,0,,1,,,0,,,,,8
gorege01,1885,CHC,NL,WS,1,3,1,0,0,0,0,0,,,0,,1,,,0,,,,,0
hollibu01,1885,CHC,NL,WS,1,4,0,0,0,0,0,0,,,0,,0,,,0,,,,,0
kellyki01,1885,CHC,NL,WS,7,26,9,9,3,1,0,0,,,0,,2,,,0,,,,,14
lathaar01,1885,STL,AA,WS,7,22,5,7,3,0,0,0,,,0,,2,,,0,,,,,10
mccorji01,1885,CHC,NL,WS,5,17,1,3,0,0,0,0,,,0,,0,,,0,,,,,3
nicolhu01,1885,STL,AA,WS,1,2,0,0,0,0,0,0,,,0,,0,,,0,,,,,0
o'neiti01,1885,STL,AA,WS,7,24,4,5,0,0,0,0,,,0,,0,,,0,,,,,5
pfefffr01,1885,CHC,NL,WS,7,27,5,11,2,0,1,0,,,0,,0,,,0,,,,,16
robinya01,1885,STL,AA,WS,7,23,5,4,0,1,0,0,,,0,,1,,,0,,,,,6
sundabi01,1885,CHC,NL,WS,7,22,5,6,2,0,0,0,,,0,,2,,,0,,,,,8
welchcu01,1885,STL,AA,WS,7,27,5,4,1,1,0,0,,,0,,0,,,0,,,,,7
willine01,1885,CHC,NL,WS,7,23,1,2,0,0,0,0,,,0,,4,,,0,,,,,2
ansonca01,1886,CHC,NL,WS,6,21,3,5,1,0,0,1,,,1,,4,,,0,,,,,6
burnsto01,1886,CHC,NL,WS,6,21,2,6,2,1,0,1,,,0,,0,,,2,,,,,10
bushodo01,1886,STL,AA,WS,6,16,4,3,1,0,0,2,,,0,,4,,,5,,,,,4
carutbo01,1886,STL,AA,WS,6,24,6,6,1,2,0,5,,,1,,1,,,4,,,,,11
clarkjo01,1886,CHC,NL,WS,4,15,0,1,0,0,0,1,,,1,,0,,,2,,,,,1
comisch01,1886,STL,AA,WS,6,24,2,7,1,0,0,2,,,0,,0,,,4,,,,,8
dalryab01,1886,CHC,NL,WS,6,21,2,4,1,1,0,2,,,1,,0,,,5,,,,,7
flintsi01,1886,CHC,NL,WS,1,3,0,0,0,0,0,1,,,0,,0,,,1,,,,,0
foutzda01,1886,STL,AA,WS,4,15,2,3,1,1,0,3,,,0,,0,,,3,,,,,6
gleasbi01,1886,STL,AA,WS,6,24,3,5,0,0,0,5,,,0,,1,,,3,,,,,5
gorege01,1886,CHC,NL,WS,6,23,4,4,0,0,1,2,,,0,,3,,,3,,,,,7
hudsona01,1886,STL,AA,WS,2,6,1,1,0,1,0,0,,,0,,1,,,3,,,,,3
kellyki01,1886,CHC,NL,WS,6,24,4,5,0,0,1,1,,,1,,2,,,2,,,,,8
lathaar01,1886,STL,AA,WS,6,23,4,4,0,1,0,3,,,2,,3,,,4,,,,,6
mccorji01,1886,CHC,NL,WS,1,3,0,0,0,0,0,0,,,0,,0,,,0,,,,,0
o'neiti01,1886,STL,AA,WS,6,20,4,8,0,2,2,5,,,2,,4,,,5,,,,,18
pfefffr01,1886,CHC,NL,WS,6,21,7,6,0,0,1,4,,,2,,2,,,1,,,,,9
robinya01,1886,STL,AA,WS,6,19,5,6,1,1,0,3,,,2,,2,,,3,,,,,9
ryanji01,1886,CHC,NL,WS,6,20,4,5,1,0,0,2,,,1,,0,,,1,,,,,6
welchcu01,1886,STL,AA,WS,6,20,7,7,2,0,0,1,,,2,,3,,,4,,,,,9
willine01,1886,CHC,NL,WS,6,18,2,1,0,1,0,3,,,1,,4,,,5,,,,,3
baldwla01,1887,DTN,NL,WS,5,17,1,4,1,0,0,1,,,1,,2,,,2,,,,,5
bennech01,1887,DTN,NL,WS,11,42,6,11,2,1,0,9,,,5,,3,,,5,,,,,15
boyleja01,1887,STL,AA,WS,6,24,1,5,0,0,0,2,,,0,,0,,,4,,,,,5
broutda01,1887,DTN,NL,WS,1,3,0,2,0,0,0,0,,,0,,0,,,0,,,,,2
bushodo01,1887,STL,AA,WS,9,29,3,7,0,0,0,1,,,0,,4,,,1,,,,,7
carutbo01,1887,STL,AA,WS,10,46,2,11,0,0,0,3,,,3,,1,,,1,,,,,11
comisch01,1887,STL,AA,WS,15,62,8,19,2,0,0,5,,,4,,1,,,1,,,,,21
conwape01,1887,DTN,NL,WS,4,12,0,0,0,0,0,0,,,0,,0,,,2,,,,,0
dunlafr01,1887,DTN,NL,WS,11,40,5,6,0,1,0,1,,,4,,0,,,4,,,,,8
foutzda01,1887,STL,AA,WS,15,59,4,10,2,1,0,3,,,0,,2,,,3,,,,,14
ganzech01,1887,DTN,NL,WS,14,58,5,13,1,0,0,2,,,3,,1,,,2,,,,,14
getzich01,1887,DTN,NL,WS,6,20,5,6,2,0,0,2,,,1,,3,,,6,,,,,8
gleasbi01,1887,STL,AA,WS,13,49,3,8,0,0,0,1,,,1,,3,,,2,,,,,8
hanlone01,1887,DTN,NL,WS,15,50,5,11,1,1,0,4,,,7,,5,,,1,,,,,14
kingsi01,1887,STL,AA,WS,4,14,0,1,0,0,0,1,,,0,,0,,,3,,,,,1
lathaar01,1887,STL,AA,WS,15,58,12,17,1,0,0,2,,,15,,9,,,2,,,,,18
lyonsha01,1887,STL,AA,WS,2,7,3,2,0,0,0,2,,,0,,1,,,0,,,,,2
o'neiti01,1887,STL,AA,WS,15,65,7,13,2,1,1,9,,,0,,0,,,2,,,,,20
richaha01,1887,DTN,NL,WS,15,66,12,13,5,2,1,4,,,7,,1,,,9,,,,,25
robinya01,1887,STL,AA,WS,15,46,5,15,5,1,0,4,,,4,,10,,,6,,,,,22
roweja01,1887,DTN,NL,WS,15,63,12,21,1,1,0,7,,,5,,2,,,1,,,,,24
sutclsy01,1887,DTN,NL,WS,4,11,1,1,0,0,0,0,,,1,,1,,,1,,,,,1
thompsa01,1887,DTN,NL,WS,15,58,8,21,2,0,2,7,,,5,,3,,,3,,,,,29
twitcla01,1887,DTN,NL,WS,6,20,5,5,1,0,1,3,,,1,,0,,,1,,,,,9
welchcu01,1887,STL,AA,WS,15,58,6,12,3,1,1,8,,,1,,0,,,2,,,,,20
whitede01,1887,DTN,NL,WS,15,58,8,12,1,1,0,3,,,2,,2,,,0,,,,,15
boyleja01,1888,STL,AA,WS,4,16,4,7,0,1,0,4,,,3,,2,,,2,,,,,9
brownwi01,1888,NYG,NL,WS,2,8,1,3,1,0,0,0,,,0,,0,,,0,,,,,4
chambel01,1888,STL,AA,WS,5,13,3,0,0,0,0,0,,,1,,4,,,3,,,,,0
comisch01,1888,STL,AA,WS,10,41,6,11,1,1,0,3,,,4,,1,,,1,,,,,14
connoro01,1888,NYG,NL,WS,7,23,7,7,1,2,0,3,,,4,,4,,,0,,,,,12
craneed01,1888,NYG,NL,WS,2,7,1,1,0,0,0,2,,,0,,0,,,1,,,,,1
devliji02,1888,STL,AA,WS,1,3,0,0,0,0,0,0,,,0,,0,,,0,,,,,0
ewingbu01,1888,NYG,NL,WS,7,26,5,9,0,2,1,6,,,5,,1,,,3,,,,,16
georgbi01,1888,NYG,NL,WS,2,9,2,3,1,0,1,4,,,0,,0,,,2,,,,,7
gorege01,1888,NYG,NL,WS,3,11,5,5,1,0,0,0,,,2,,2,,,2,,,,,6
hatfigi01,1888,NYG,NL,WS,2,8,2,2,0,0,0,1,,,1,,1,,,2,,,,,2
herred01,1888,STL,AA,WS,3,11,2,1,0,0,0,0,,,1,,0,,,5,,,,,1
keefeti01,1888,NYG,NL,WS,4,11,2,1,0,0,0,0,,,1,,2,,,2,,,,,1
kingsi01,1888,STL,AA,WS,5,15,1,1,0,0,0,0,,,0,,1,,,6,,,,,1
lathaar01,1888,STL,AA,WS,10,40,10,10,0,0,0,3,,,11,,5,,,6,,,,,10
lyonsha01,1888,STL,AA,WS,5,17,0,2,0,0,0,1,,,0,,1,,,5,,,,,2
mccarto01,1888,STL,AA,WS,10,41,10,10,1,0,1,9,,,6,,0,,,0,,,,,14
millijo01,1888,STL,AA,WS,8,25,5,10,2,1,0,4,,,0,,3,,,3,,,,,14
murphpa01,1888,NYG,NL,WS,3,10,1,1,0,0,0,1,,,0,,0,,,0,,,,,1
o'neiti01,1888,STL,AA,WS,10,37,8,9,1,0,2,11,,,0,,6,,,3,,,,,16
o'rouji01,1888,NYG,NL,WS,10,36,4,8,0,0,0,1,,,3,,4,,,2,,,,,8
richada01,1888,NYG,NL,WS,9,36,6,6,2,0,0,6,,,3,,3,,,5,,,,,8
robinya01,1888,STL,AA,WS,10,36,7,9,2,1,0,7,,,2,,6,,,12,,,,,13
slattmi01,1888,NYG,NL,WS,10,39,6,8,2,0,0,5,,,6,,0,,,5,,,,,10
tiernmi01,1888,NYG,NL,WS,10,38,8,13,0,0,1,6,,,5,,8,,,2,,,,,16
titcoca01,1888,NYG,NL,WS,1,4,1,2,1,0,0,1,,,0,,0,,,0,,,,,3
wardjo01,1888,NYG,NL,WS,8,29,4,11,1,0,0,6,,,6,,1,,,0,,,,,12
welchmi01,1888,NYG,NL,WS,2,7,2,2,0,0,0,1,,,0,,0,,,0,,,,,2
whitebi02,1888,STL,AA,WS,10,35,4,5,1,0,0,4,,,1,,3,,,6,,,,,6
whitnar01,1888,NYG,NL,WS,10,37,7,12,0,1,0,12,,,2,,1,,,4,,,,,14
brownwi01,1889,NYG,NL,WS,1,5,3,3,0,0,1,2,,,0,,0,,,0,,,,,6
burnsoy01,1889,BRO,AA,WS,9,35,8,8,3,0,2,11,,,0,,5,,,6,,,,,17
bushodo01,1889,BRO,AA,WS,3,8,0,0,0,0,0,0,,,0,,1,,,0,,,,,0
carutbo01,1889,BRO,AA,WS,4,8,1,2,0,0,0,1,,,0,,3,,,3,,,,,2
clarkbo01,1889,BRO,AA,WS,4,12,3,5,2,0,0,3,,,0,,2,,,2,,,,,7
collihu01,1889,BRO,AA,WS,9,35,13,13,3,0,1,2,,,6,,7,,,5,,,,,19
