LahmanID,Year,Team,Lg,Playoff,W,L,SV,G,GS,CG,SH,IP,H,ER,BB,SO,ERA
becab101,1884,NYP,AA,WS,0,1,0,1,1,1,0,6,9,7,2,1,10.5
keefeti01,1884,NYP,AA,WS,0,2,0,2,2,2,0,15,10,6,3,12,3.6
radboch01,1884,PRO,NL,WS,3,0,0,3,3,3,1,22,11,0,0,17,0
clarkjo01,1885,CHC,NL,WS,1,1,0,3,3,3,0,23,19,2,3,19,0.78
mccorji01,1885,CHC,NL,WS,2,2,0,4,4,4,0,29,23,8,4,15,2.48
carutbo01,1885,STL,AA,WS,1,1,0,3,3,3,0,26,25,7,4,16,2.42
foutzda01,1885,STL,AA,WS,2,2,0,4,4,4,0,29,30,2,9,14,0.62
clarkjo01,1886,CHC,NL,WS,2,2,0,4,4,3,1,31,25,7,12,28,2.03
mccorji01,1886,CHC,NL,WS,0,1,0,1,1,1,0,8,13,6,2,4,6.75
ryanji01,1886,CHC,NL,WS,0,0,0,1,0,0,0,5,8,5,4,4,9
willine01,1886,CHC,NL,WS,0,1,0,2,1,0,0,2,4,1,1,2,4.5
carutbo01,1886,STL,AA,WS,2,1,0,3,3,3,1,26,18,7,6,12,2.42
foutzda01,1886,STL,AA,WS,1,1,0,2,2,2,0,15,16,6,6,7,3.6
hudsona01,1886,STL,AA,WS,1,0,0,1,1,1,0,7,3,2,3,3,2.57
baldwla01,1887,DTN,NL,WS,4,1,0,5,5,5,1,42,28,7,10,4,1.5
conwape01,1887,DTN,NL,WS,2,2,0,4,4,4,0,33,31,11,6,10,3
getzich01,1887,DTN,NL,WS,4,2,0,6,6,6,1,58,61,16,15,17,2.48
carutbo01,1887,STL,AA,WS,4,4,0,8,8,8,0,71,64,17,12,19,2.15
foutzda01,1887,STL,AA,WS,0,3,0,3,3,3,0,26,36,10,9,6,3.46
kingsi01,1887,STL,AA,WS,1,3,0,4,4,4,0,31,26,7,2,21,2.03
craneed01,1888,NYG,NL,WS,1,1,0,2,2,2,0,17,15,4,6,12,2.12
georgbi01,1888,NYG,NL,WS,0,1,0,1,1,1,0,10,15,8,3,4,7.2
hatfigi01,1888,NYG,NL,WS,0,0,0,1,0,0,0,5,12,7,3,2,12.6
keefeti01,1888,NYG,NL,WS,4,0,0,4,4,4,0,35,18,2,9,30,0.51
titcoca01,1888,NYG,NL,WS,0,1,0,1,1,0,0,4,5,3,2,2,6.75
welchmi01,1888,NYG,NL,WS,1,1,0,2,2,2,0,17,10,5,9,2,2.65
chambel01,1888,STL,AA,WS,2,3,0,5,5,5,1,44,52,26,16,13,5.32
devliji02,1888,STL,AA,WS,1,0,0,1,0,0,0,7,5,2,2,5,2.57
kingsi01,1888,STL,AA,WS,1,3,0,5,5,4,0,35,37,9,9,12,2.31
carutbo01,1889,BRO,AA,WS,0,2,1,4,2,2,0,24,28,10,6,6,3.75
foutzda01,1889,BRO,AA,WS,0,0,0,1,0,0,0,5,5,4,2,2,7.2
hughemi01,1889,BRO,AA,WS,1,0,0,1,1,0,0,7,14,6,3,3,7.71
lovetto01,1889,BRO,AA,WS,0,1,0,1,1,0,0,3,8,8,2,1,24
terryad01,1889,BRO,AA,WS,2,3,0,5,5,4,0,37,47,25,18,14,6.08
craneed01,1889,NYG,NL,WS,4,1,0,5,5,4,0,38,29,16,32,19,3.79
keefeti01,1889,NYG,NL,WS,0,1,1,2,1,1,0,11,17,10,2,4,8.18
o'dayha01,1889,NYG,NL,WS,2,0,0,3,2,2,0,23,10,3,14,12,1.17
welchmi01,1889,NYG,NL,WS,0,1,0,1,1,0,0,5,11,5,3,1,9
lovetto01,1890,BRO,NL,WS,2,2,0,4,4,4,0,35,29,11,6,14,2.83
terryad01,1890,BRO,NL,WS,1,1,0,3,3,3,1,25,25,10,10,8,3.6
dailyed01,1890,LOU,AA,WS,0,2,0,2,2,2,0,17,12,5,8,5,2.65
ehretre01,1890,LOU,AA,WS,2,0,1,3,2,2,0,20,12,3,6,13,1.35
meakige01,1890,LOU,AA,WS,0,0,0,1,0,0,0,4,6,0,1,1,0
stratsc01,1890,LOU,AA,WS,1,1,0,3,3,1,0,19,26,5,4,8,2.37
nichoki01,1892,BSN,NL,WS,2,0,0,2,2,2,1,18,17,2,4,13,1
staleha01,1892,BSN,NL,WS,1,0,0,1,1,1,0,9,10,3,1,0,3
stiveja01,1892,BSN,NL,WS,2,0,0,3,3,3,1,29,21,3,7,17,0.93
clarkjo01,1892,CLV,NL,WS,0,2,0,2,2,2,0,17,24,10,5,9,5.29
cuppyni01,1892,CLV,NL,WS,0,1,0,1,1,1,0,8,6,1,4,1,1.13
youngcy01,1892,CLV,NL,WS,0,2,0,3,3,3,1,27,26,9,3,9,3
dinnebi01,1903,BOS,AL,WS,3,1,0,4,4,4,2,35,29,8,8,28,2.06
hugheto01,1903,BOS,AL,WS,0,1,0,1,1,0,0,2,4,2,2,0,9
youngcy01,1903,BOS,AL,WS,2,1,0,4,3,3,0,34,31,7,4,17,1.85
