Team,League,StartYr,EndYr,City,Nickname
ALT,UA,1884,1884,Altoona,Mountain City
ANA,AL,1961,,Anaheim,Angels
ARI,NL,1998,,Arizona,Diamondbacks
ATH,NL,1876,1876,Philadelphia,Athletics
ATL,NL,1876,,Atlanta,Braves
BAL,AL,1901,,Baltimore,Orioles
BFB,PL,1890,1890,Buffalo,Bisons
BFL,FL,1914,1915,Buffalo,Bisons
BLC,NA,1872,1874,Baltimore,Canaries
BLO,AA,1882,1891,Baltimore,Orioles
BLO,NL,1892,1899,Baltimore,Orioles
BLT,FL,1914,1915,Baltimore,Terrapins
BLU,UA,1884,1884,Baltimore,Monumentals
BNA,NA,1871,1875,Boston,Red Stockings
BOS,AL,1901,,Boston,Red Sox
BRA,NA,1872,1875,Brooklyn,Atlantics
BRD,UA,1884,1884,Boston,Reds
BRG,AA,1890,1890,Brooklyn,Gladiators
BRS,AA,1891,1891,Boston,Reds
BRS,PL,1890,1890,Boston,Reds
BTT,FL,1914,1915,Brooklyn,Tip-Tops
BUF,NL,1879,1885,Buffalo,Bisons
BWW,PL,1890,1890,Brooklyn,Ward's Wonders
CBK,AA,1883,1884,Columbus,Buckeyes
CBL,NL,1879,1884,Cleveland,Blues
CEN,NA,1875,1875,Philadelphia,Centennials
CFC,NA,1871,1872,Cleveland,Forest Citys
CHC,NL,1876,,Chicago,Cubs
CHH,FL,1914,1915,Chicago,Whales
CHP,PL,1890,1890,Chicago,Pirates
CHW,AL,1901,,Chicago,White Sox
CIN,AA,1882,1889,Cincinnati,Reds
CIN,NL,1890,,Cincinnati,Reds
CKK,AA,1891,1891,Cincinnati,Kelly's Killers
CLE,AL,1901,,Cleveland,Indians
CLI,PL,1890,1890,Cleveland,Infants
CLS,AA,1889,1891,Columbus,Solons
CLV,AA,1887,1888,Cleveland,Spiders
CLV,NL,1889,1899,Cleveland,Spiders
CNA,NA,1871,1875,Chicago,White Stockings
CNR,NL,1876,1880,Cincinnati,Reds
COL,NL,1993,,Colorado,Rockies
COR,UA,1884,1884,Cincinnati,Outlaw Reds
CPI,UA,1884,1884,Chicago/Pittsburgh,(Union League)
DET,AL,1901,,Detroit,Tigers
DTN,NL,1881,1888,Detroit,Wolverines
ECK,NA,1872,1872,Brooklyn,Eckfords
FLA,NL,1993,,Florida,Marlins
HAR,NL,1876,1877,Hartford,Dark Blues
HNA,NA,1874,1875,Hartford,Dark Blues
HOU,NL,1962,,Houston,Astros
IBL,NL,1878,1878,Indianapolis,Blues
IHO,AA,1884,1884,Indianapolis,Hoosiers
IND,NL,1887,1889,Indianapolis,Hoosiers
KCC,AA,1888,1889,Kansas City,Cowboys
KCN,NL,1886,1886,Kansas City,Cowboys
KCP,FL,1914,1915,Kansas City,Packers
KCR,AL,1969,,Kansas City,Royals
KCU,UA,1884,1884,Kansas City,Cowboys
KEK,NA,1871,1871,Fort Wayne,Kekiongas
LAD,AA,1884,1889,Los Angeles,Dodgers
LAD,NL,1890,,Los Angeles,Dodgers
LGR,NL,1876,1877,Louisville,Grays
LOU,AA,1882,1891,Louisville,Colonels
LOU,NL,1892,1899,Louisville,Colonels
MAN,NA,1872,1872,Middletown,Mansfields
MAR,NA,1873,1873,Baltimore,Marylands
MIL,AL,1969,1997,Milwaukee,Brewers
MIL,NL,1998,,Milwaukee,Brewers
MIN,AL,1901,,Minnesota,Twins
MLA,AA,1891,1891,Milwaukee,Brewers
MLG,NL,1878,1878,Milwaukee,Grays
MLU,UA,1884,1884,Milwaukee,Brewers
MON,NL,1969,,Montreal,Expos
NAT,NA,1872,1872,Washington,Nationals
NEW,FL,1914,1915,Newark,Pepper
NHV,NA,1875,1875,New Haven,Elm Citys
NNA,NA,1871,1875,New York,Mutuals
NYI,PL,1890,1890,New York,Giants
NYM,NL,1962,,New York,Mets
NYP,AA,1883,1887,New York,Metropolitans
NYU,NL,1876,1876,New York,Mutuals
NYY,AL,1901,,New York,Yankees
OAK,AL,1901,,Oakland,Athletics
OLY,NA,1871,1872,Washington,Olympics
PBB,PL,1890,1890,Pittsburgh,Burghers
PBS,FL,1914,1915,Pittsburgh,Rebels
PHA,AA,1882,1890,Philadelphia,Athletics
PHI,NL,1883,,Philadelphia,Phillies
PHK,UA,1884,1884,Philadelphia,Keystones
PHQ,AA,1891,1891,Philadelphia,Athletics
PHQ,PL,1890,1890,Philadelphia,Athletics
PIT,AA,1882,1886,Pittsburgh,Pirates
PIT,NL,1887,,Pittsburgh,Pirates
PNA,NA,1871,1875,Philadelphia,Athletics
PRO,NL,1878,1885,Providence,Grays
PWS,NA,1873,1875,Philadelphia,White Stockings
RES,NA,1873,1873,Elizabeth,Resolutes
RIC,AA,1884,1884,Richmond,Virginians
ROC,AA,1890,1890,Rochester,Broncos
ROK,NA,1871,1871,Rockford,Forest Citys
SBS,NL,1876,1877,St. Louis,Brown Stockings
SDP,NL,1969,,San Diego,Padres
SEA,AL,1977,,Seattle,Mariners
SFG,NL,1883,,San Francisco,Giants
SLI,FL,1914,1915,St. Louis,Terriers
SLM,NL,1885,1886,St. Louis,Maroons
SLM,UA,1884,1884,St. Louis,Maroons
SLR,NA,1875,1875,St. Louis,Red Stockings
SNA,NA,1875,1875,St. Louis,Brown Stockings
STL,AA,1882,1891,St. Louis,Cardinals
STL,NL,1892,,St. Louis,Cardinals
STP,UA,1884,1884,St. Paul,Apostles
SYR,NL,1879,1879,Syracuse,Stars
SYS,AA,1890,1890,Syracuse,Stars
TBD,AL,1998,,Tampa Bay,Devil Rays
TEX,AL,1961,,Texas,Rangers
TLM,AA,1890,1890,Toledo,Maumees
TOL,AA,1884,1884,Toledo,Blue Stockings
