sex,type
Female,inclass
Female,inclass
Male,inclass
Female,inclass
Male,inclass
Male,inclass
Male,inclass
Male,inclass
Female,inclass
Female,inclass
Female,inclass
Female,inclass
Female,inclass
Female,inclass
Male,inclass
Male,inclass
Female,inclass
Female,inclass
Female,inclass
Male,inclass
Female,inclass
Female,inclass
Female,inclass
Male,inclass
Female,inclass
Female,inclass
Male,inclass
Male,inclass
Male,inclass
Female,inclass
Female,inclass
Female,inclass
Female,inclass
Female,inclass
Female,inclass
Female,inclass
Female,inclass
Female,inclass
Male,inclass
Female,online
Female,online
Female,online
Female,online
Male,online
Male,online
Male,online
Male,online
Male,online
Male,online
Female,online
Male,online
Female,online
Male,online
Male,online
Male,online
Female,online
Male,online
Female,online
Male,online
Male,online
Male,online
Female,online
Female,online
Male,online
Male,online
Male,online
Female,online
Male,online
Female,online
Male,online
Female,online
Male,online
Male,online
Male,online
Male,online
Female,online
Male,online
Male,online
Female,online
Female,online
Male,online
Male,online
Female,online
Female,online
Female,online
Male,online
Female,online
Male,online
Female,online
Male,online
Female,online
Male,online
Male,online
Male,online
Female,online
Female,online
Female,online
Male,online
Male,online
Male,online
Female,online
Male,online
Male,online
Female,online
Male,online
Male,online
Female,online
Male,online
Male,online
Female,online
Female,online
Male,online
Male,online
Female,online
Male,online
Male,online
Female,online
Male,online
Male,online
Male,online
Male,online
Male,online
Male,online
Female,online
Female,online
Female,online
Male,online
Male,online
Male,online
Male,online
Female,online
Male,online
Female,online
Male,online
Male,online
Male,online
Male,online
Female,online
Male,online
Female,online
Male,online
Female,online
Female,online
Male,online
Male,online
Male,online
Male,online
Male,online
Female,online
Male,online
